OpenTime,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,MACD_Signal
17/08/2017,4261.48,4485.39,4200.74,4285.08,795.150377,4285.08,0,0,0
18/08/2017,4285.08,4371.52,3938.77,4108.37,1199.888264,4196.725,0,-14.09652,-2.819304843
19/08/2017,4108.37,4184.69,3850,4139.98,381.309763,4177.81,15.17,-22.45857,-6.74715787
20/08/2017,4120.98,4211.08,4032.62,4086.29,467.083022,4154.72,12.06,-33.03706,-12.00513733
21/08/2017,4069.13,4119.62,3911.79,4016,691.74306,4127.144,9.51,-46.55573,-18.91525606
22/08/2017,4016,4104.82,3400,4040,966.684858,4112.62,15.61,-54.70221,-26.07264616
23/08/2017,4040,4265.8,4013.89,4114.01,1001.136565,4112.81,30.12,-54.55745,-31.76960779
24/08/2017,4147,4371.68,4085.01,4316.01,787.418753,4138.217,52.45,-37.70835,-32.95735561
25/08/2017,4316.01,4453.91,4247.48,4280.68,573.61274,4154.046,49.67,-26.8961,-31.74510491
26/08/2017,4280.71,4367,4212.41,4337.44,228.108068,4172.386,53.61,-13.5906,-28.11420366
27/08/2017,4332.51,4400,4285.54,4310.01,350.692585,4174.879,51.66,-5.19933,-23.53122861
28/08/2017,4310.01,4399.82,4124.54,4386.69,603.841616,4202.711,56.13,7.5512,-17.31474223
29/08/2017,4353.65,4625.85,4313.55,4587.48,603.545028,4247.461,64.69,33.47232,-7.157330101
30/08/2017,4564.52,4647.51,4416.01,4555.14,808.468771,4294.346,62.719,50.8196,4.4380568
31/08/2017,4555.14,4745.42,4555.14,4724.89,556.956802,4365.235,67.85827,77.37295,19.02503597
01/09/2017,4689.89,4885.55,4654.88,4834.91,560.666366,4444.726,81.19001,106.07164,36.4343566
02/09/2017,4796.16,4939.19,4286.87,4472.14,929.148595,4480.539,61.10264,98.40865,48.82921608
03/09/2017,4508.5,4714.76,4298.33,4509.08,691.216198,4499.846,64.29204,94.23021,57.90941391
04/09/2017,4505,4527.49,3972.51,4100.11,1394.644614,4481.789,52.31352,57.25826,57.77918229
05/09/2017,4106.97,4484.99,3603,4366.47,1228.938157,4484.692,57.92345,48.8872,56.00078668
06/09/2017,4366.49,4662.87,4335.26,4619.77,807.363726,4515.668,61.29211,61.97784,57.19619669
07/09/2017,4619.77,4788.59,4438.19,4691.61,500.429975,4546.16,58.90351,77.25856,61.20866862
08/09/2017,4691.66,4735.39,4028.93,4282.8,1132.255046,4515.692,50.04269,55.73857,60.11464825
09/09/2017,4282.8,4426.62,4150.06,4258.81,658.782952,4486.059,48.3953,36.32925,55.35756791
10/09/2017,4258.81,4283,3801,4130.37,660.373275,4426.607,46.47903,10.46258,46.37857028
11/09/2017,4153.62,4334.43,4098.91,4208.47,699.989065,4363.963,46.5088,-3.69236,36.36438433
